States,Cancer Sites,Year,Sex,Race,Count,Population,Age-Adjusted Rate
Arizona,Thyroid,2007,Female,White,565.0,2688894,20.6
Arizona,Thyroid,2007,Male,White,190.0,2665511,7.0
Arizona,Thyroid,2008,Female,Asian or Pacific Islander,29.0,109750,25.2
Arizona,Thyroid,2008,Female,White,660.0,2728728,23.7
Arizona,Thyroid,2008,Female,Other Races and Unknown combined,22.0,,
Arizona,Thyroid,2008,Male,White,212.0,2701226,7.6
Arizona,Thyroid,2009,Female,American Indian or Alaska Native,26.0,178749,17.7
Arizona,Thyroid,2009,Female,Asian or Pacific Islander,29.0,114334,26.1
Arizona,Thyroid,2009,Female,Black or African American,18.0,147897,15.3
Arizona,Thyroid,2009,Female,White,669.0,2748928,23.9
Arizona,Thyroid,2009,Female,Other Races and Unknown combined,16.0,,
Arizona,Thyroid,2009,Male,White,203.0,2715119,7.1
Arizona,Thyroid,2010,Female,American Indian or Alaska Native,16.0,181808,9.1
Arizona,Thyroid,2010,Female,Black or African American,24.0,152668,19.7
Arizona,Thyroid,2010,Female,White,765.0,2770761,27.1
Arizona,Thyroid,2010,Male,White,209.0,2734554,7.3
Arizona,Thyroid,2011,Female,American Indian or Alaska Native,22.0,184424,14.4
Arizona,Thyroid,2011,Female,Asian or Pacific Islander,22.0,122428,18.5
Arizona,Thyroid,2011,Female,Black or African American,26.0,156425,19.9
Arizona,Thyroid,2011,Female,White,692.0,2788178,24.2
Arizona,Thyroid,2011,Female,Other Races and Unknown combined,19.0,,
Arizona,Thyroid,2011,Male,White,216.0,2754565,7.5
Arizona,Thyroid,2012,Female,American Indian or Alaska Native,29.0,187958,17.3
Arizona,Thyroid,2012,Female,Asian or Pacific Islander,34.0,126685,26.6
Arizona,Thyroid,2012,Female,Black or African American,28.0,161555,19.5
Arizona,Thyroid,2012,Female,White,727.0,2816706,25.0
Arizona,Thyroid,2012,Female,Other Races and Unknown combined,17.0,,
Arizona,Thyroid,2012,Male,White,224.0,2782701,7.8
Arizona,Thyroid,2013,Female,American Indian or Alaska Native,25.0,191108,15.7
Arizona,Thyroid,2013,Female,Asian or Pacific Islander,30.0,130950,22.6
Arizona,Thyroid,2013,Female,Black or African American,16.0,166363,12.0
Arizona,Thyroid,2013,Female,White,690.0,2843978,23.3
Arizona,Thyroid,2013,Female,Other Races and Unknown combined,21.0,,
Arizona,Thyroid,2013,Male,White,219.0,2806827,7.2
Arizona,Thyroid,2014,Female,American Indian or Alaska Native,32.0,194642,18.0
Arizona,Thyroid,2014,Female,Asian or Pacific Islander,35.0,135451,25.7
Arizona,Thyroid,2014,Female,Black or African American,21.0,171849,14.2
Arizona,Thyroid,2014,Female,White,666.0,2878205,22.3
Arizona,Thyroid,2014,Female,Other Races and Unknown combined,16.0,,
Arizona,Thyroid,2014,Male,White,214.0,2840796,7.0
Arizona,Thyroid,2015,Female,American Indian or Alaska Native,23.0,197541,12.2
Arizona,Thyroid,2015,Female,Asian or Pacific Islander,24.0,140552,16.7
Arizona,Thyroid,2015,Female,Black or African American,26.0,178800,17.9
Arizona,Thyroid,2015,Female,White,648.0,2913189,21.5
Arizona,Thyroid,2015,Male,White,211.0,2874247,6.7
Arkansas,Thyroid,2001,Female,White,82.0,1125638,7.1
Arkansas,Thyroid,2001,Male,White,34.0,1089018,3.1
Arkansas,Thyroid,2002,Female,White,86.0,1129765,7.0
Arkansas,Thyroid,2002,Male,White,34.0,1094352,2.8
Arkansas,Thyroid,2003,Female,White,93.0,1135532,7.8
Arkansas,Thyroid,2003,Male,White,48.0,1101895,4.0
Arkansas,Thyroid,2004,Female,White,115.0,1143496,9.9
Arkansas,Thyroid,2004,Male,White,42.0,1111849,3.5
Arkansas,Thyroid,2005,Female,Black or African American,19.0,232752,9.7
Arkansas,Thyroid,2005,Female,White,109.0,1155109,9.2
Arkansas,Thyroid,2005,Male,White,47.0,1123888,4.0
Arkansas,Thyroid,2006,Female,Black or African American,17.0,236691,8.0
Arkansas,Thyroid,2006,Female,White,140.0,1169326,11.0
Arkansas,Thyroid,2006,Male,White,65.0,1139123,5.1
Arkansas,Thyroid,2007,Female,Black or African American,17.0,238117,7.8
Arkansas,Thyroid,2007,Female,White,148.0,1179180,11.6
Arkansas,Thyroid,2007,Male,White,62.0,1149772,5.0
Arkansas,Thyroid,2008,Female,Black or African American,17.0,240701,7.6
Arkansas,Thyroid,2008,Female,White,166.0,1187921,12.9
Arkansas,Thyroid,2008,Male,White,61.0,1158925,4.8
Arkansas,Thyroid,2009,Female,Black or African American,21.0,242268,9.6
Arkansas,Thyroid,2009,Female,White,171.0,1195266,13.6
Arkansas,Thyroid,2009,Male,White,65.0,1166316,4.9
Arkansas,Thyroid,2010,Female,Black or African American,22.0,244867,10.2
Arkansas,Thyroid,2010,Female,White,191.0,1203126,15.2
Arkansas,Thyroid,2010,Male,White,72.0,1174724,5.5
Arkansas,Thyroid,2011,Female,Black or African American,22.0,246427,8.7
Arkansas,Thyroid,2011,Female,White,203.0,1208534,15.9
Arkansas,Thyroid,2011,Male,White,68.0,1180539,5.2
Arkansas,Thyroid,2012,Female,Black or African American,21.0,247667,8.9
Arkansas,Thyroid,2012,Female,White,208.0,1211397,16.5
Arkansas,Thyroid,2012,Male,White,69.0,1183451,5.2
Arkansas,Thyroid,2013,Female,Black or African American,19.0,249036,7.8
Arkansas,Thyroid,2013,Female,White,178.0,1213343,13.5
Arkansas,Thyroid,2013,Male,White,69.0,1184519,5.2
Arkansas,Thyroid,2014,Female,Black or African American,31.0,250203,12.8
Arkansas,Thyroid,2014,Female,White,252.0,1215123,19.8
Arkansas,Thyroid,2014,Male,White,91.0,1186277,6.8
Arkansas,Thyroid,2015,Female,Black or African American,36.0,251645,14.5
Arkansas,Thyroid,2015,Female,White,250.0,1217669,19.5
Arkansas,Thyroid,2015,Male,White,113.0,1188839,8.9
California,Thyroid,1999,Female,Asian or Pacific Islander,239.0,2097682,11.7
California,Thyroid,1999,Female,Black or African American,60.0,1274187,5.1
California,Thyroid,1999,Female,White,1287.0,13203242,9.9
California,Thyroid,1999,Female,Other Races and Unknown combined,18.0,,
California,Thyroid,1999,Male,Asian or Pacific Islander,61.0,1953590,3.5
California,Thyroid,1999,Male,Black or African American,18.0,1228282,2.0
California,Thyroid,1999,Male,White,441.0,13289192,3.6
California,Thyroid,2000,Female,Asian or Pacific Islander,257.0,2160500,12.2
California,Thyroid,2000,Female,Black or African American,64.0,1285547,5.7
California,Thyroid,2000,Female,White,1352.0,13367420,10.3
California,Thyroid,2000,Male,Asian or Pacific Islander,63.0,2014557,3.5
California,Thyroid,2000,Male,Black or African American,22.0,1238245,2.4
California,Thyroid,2000,Male,White,450.0,13444200,3.6
California,Thyroid,2001,Female,Asian or Pacific Islander,271.0,2246221,11.8
California,Thyroid,2001,Female,Black or African American,77.0,1296780,6.7
California,Thyroid,2001,Female,White,1426.0,13505365,10.7
California,Thyroid,2001,Male,Asian or Pacific Islander,75.0,2092159,4.1
California,Thyroid,2001,Male,Black or African American,23.0,1251049,2.3
California,Thyroid,2001,Male,White,499.0,13592819,4.0
California,Thyroid,2002,Female,Asian or Pacific Islander,320.0,2325320,13.4
California,Thyroid,2002,Female,Black or African American,65.0,1306520,5.5
California,Thyroid,2002,Female,White,1559.0,13611768,11.6
California,Thyroid,2002,Male,Asian or Pacific Islander,83.0,2157178,4.5
California,Thyroid,2002,Male,Black or African American,18.0,1260806,1.6
California,Thyroid,2002,Male,White,522.0,13697250,4.1
California,Thyroid,2003,Female,Asian or Pacific Islander,296.0,2401971,11.9
California,Thyroid,2003,Female,Black or African American,94.0,1316660,7.8
California,Thyroid,2003,Female,White,1630.0,13724880,12.0
California,Thyroid,2003,Male,Asian or Pacific Islander,73.0,2219287,3.6
California,Thyroid,2003,Male,Black or African American,24.0,1268907,2.4
California,Thyroid,2003,Male,White,550.0,13786662,4.3
California,Thyroid,2004,Female,Asian or Pacific Islander,341.0,2472068,13.3
California,Thyroid,2004,Female,Black or African American,80.0,1324558,6.5
California,Thyroid,2004,Female,White,1777.0,13797310,13.0
California,Thyroid,2004,Male,Asian or Pacific Islander,83.0,2278079,4.0
California,Thyroid,2004,Male,Black or African American,20.0,1278594,2.0
California,Thyroid,2004,Male,White,560.0,13866357,4.4
California,Thyroid,2005,Female,Asian or Pacific Islander,384.0,2545278,14.3
California,Thyroid,2005,Female,Black or African American,128.0,1328963,10.2
California,Thyroid,2005,Female,White,1891.0,13832450,13.7
California,Thyroid,2005,Female,Other Races and Unknown combined,31.0,,
California,Thyroid,2005,Male,Asian or Pacific Islander,92.0,2338986,4.3
California,Thyroid,2005,Male,Black or African American,41.0,1286444,4.1
California,Thyroid,2005,Male,White,633.0,13913945,4.9
California,Thyroid,2006,Female,Asian or Pacific Islander,420.0,2615741,15.4
California,Thyroid,2006,Female,Black or African American,96.0,1333724,7.8
California,Thyroid,2006,Female,White,1983.0,13846008,14.3
California,Thyroid,2006,Female,Other Races and Unknown combined,25.0,,
California,Thyroid,2006,Male,Asian or Pacific Islander,100.0,2397633,4.4
California,Thyroid,2006,Male,Black or African American,32.0,1293213,3.1
California,Thyroid,2006,Male,White,659.0,13927575,5.0
California,Thyroid,2007,Female,Asian or Pacific Islander,473.0,2686179,16.9
California,Thyroid,2007,Female,Black or African American,106.0,1338248,8.3
California,Thyroid,2007,Female,White,2141.0,13874822,15.4
California,Thyroid,2007,Female,Other Races and Unknown combined,33.0,,
California,Thyroid,2007,Male,Asian or Pacific Islander,118.0,2456074,5.2
California,Thyroid,2007,Male,Black or African American,33.0,1301121,3.0
California,Thyroid,2007,Male,White,711.0,13957514,5.4
California,Thyroid,2008,Female,Asian or Pacific Islander,483.0,2761968,16.5
California,Thyroid,2008,Female,Black or African American,121.0,1348565,9.4
California,Thyroid,2008,Female,White,2402.0,13954544,17.1
California,Thyroid,2008,Female,Other Races and Unknown combined,36.0,,
California,Thyroid,2008,Male,Asian or Pacific Islander,131.0,2520002,5.4
California,Thyroid,2008,Male,Black or African American,30.0,1313789,3.2
California,Thyroid,2008,Male,White,801.0,14035802,5.9
California,Thyroid,2009,Female,American Indian or Alaska Native,16.0,350822,4.9
California,Thyroid,2009,Female,Asian or Pacific Islander,540.0,2833505,17.9
California,Thyroid,2009,Female,Black or African American,140.0,1363153,10.5
California,Thyroid,2009,Female,White,2497.0,14035595,17.6
California,Thyroid,2009,Female,Other Races and Unknown combined,43.0,,
California,Thyroid,2009,Male,Asian or Pacific Islander,168.0,2579211,6.6
California,Thyroid,2009,Male,Black or African American,39.0,1328571,3.5
California,Thyroid,2009,Male,White,826.0,14111915,6.0
California,Thyroid,2010,Female,Asian or Pacific Islander,577.0,2903649,18.6
California,Thyroid,2010,Female,Black or African American,168.0,1379202,12.7
California,Thyroid,2010,Female,White,2718.0,14130173,19.0
California,Thyroid,2010,Female,Other Races and Unknown combined,39.0,,
California,Thyroid,2010,Male,Asian or Pacific Islander,127.0,2639351,4.9
California,Thyroid,2010,Male,Black or African American,39.0,1343608,3.2
California,Thyroid,2010,Male,White,870.0,14195972,6.2
California,Thyroid,2011,Female,American Indian or Alaska Native,16.0,368572,4.6
California,Thyroid,2011,Female,Asian or Pacific Islander,593.0,2967067,18.7
California,Thyroid,2011,Female,Black or African American,180.0,1387646,13.6
California,Thyroid,2011,Female,White,2710.0,14234455,18.7
California,Thyroid,2011,Female,Other Races and Unknown combined,55.0,,
California,Thyroid,2011,Male,Asian or Pacific Islander,168.0,2695993,6.4
California,Thyroid,2011,Male,Black or African American,44.0,1352508,3.6
California,Thyroid,2011,Male,White,889.0,14293651,6.2
California,Thyroid,2011,Male,Other Races and Unknown combined,17.0,,
California,Thyroid,2012,Female,American Indian or Alaska Native,24.0,371119,7.1
California,Thyroid,2012,Female,Asian or Pacific Islander,631.0,3032731,19.2
California,Thyroid,2012,Female,Black or African American,153.0,1394784,11.2
California,Thyroid,2012,Female,White,2949.0,14327672,20.3
California,Thyroid,2012,Female,Other Races and Unknown combined,67.0,,
California,Thyroid,2012,Male,Asian or Pacific Islander,184.0,2755340,6.7
California,Thyroid,2012,Male,Black or African American,47.0,1362472,4.3
California,Thyroid,2012,Male,White,888.0,14387823,6.2
California,Thyroid,2012,Male,Other Races and Unknown combined,17.0,,
California,Thyroid,2013,Female,American Indian or Alaska Native,16.0,373460,5.1
California,Thyroid,2013,Female,Asian or Pacific Islander,694.0,3103643,20.5
California,Thyroid,2013,Female,Black or African American,153.0,1401796,11.4
California,Thyroid,2013,Female,White,2948.0,14416615,19.9
California,Thyroid,2013,Female,Other Races and Unknown combined,65.0,,
California,Thyroid,2013,Male,Asian or Pacific Islander,177.0,2820468,6.2
California,Thyroid,2013,Male,Black or African American,39.0,1369274,3.1
California,Thyroid,2013,Male,White,949.0,14468917,6.5
California,Thyroid,2013,Male,Other Races and Unknown combined,17.0,,
California,Thyroid,2014,Female,American Indian or Alaska Native,22.0,375942,6.2
California,Thyroid,2014,Female,Asian or Pacific Islander,685.0,3179279,19.3
California,Thyroid,2014,Female,Black or African American,145.0,1410053,10.6
California,Thyroid,2014,Female,White,3091.0,14502917,20.8
California,Thyroid,2014,Female,Other Races and Unknown combined,69.0,,
California,Thyroid,2014,Male,Asian or Pacific Islander,206.0,2890096,6.9
California,Thyroid,2014,Male,Black or African American,52.0,1381572,4.3
California,Thyroid,2014,Male,White,995.0,14557451,6.6
California,Thyroid,2014,Male,Other Races and Unknown combined,17.0,,
California,Thyroid,2015,Female,American Indian or Alaska Native,28.0,379482,7.7
California,Thyroid,2015,Female,Asian or Pacific Islander,716.0,3258001,19.8
California,Thyroid,2015,Female,Black or African American,140.0,1418322,9.9
California,Thyroid,2015,Female,White,3022.0,14569723,20.2
California,Thyroid,2015,Female,Other Races and Unknown combined,77.0,,
California,Thyroid,2015,Male,Asian or Pacific Islander,230.0,2961706,7.6
California,Thyroid,2015,Male,Black or African American,46.0,1392128,3.7
California,Thyroid,2015,Male,White,1099.0,14627619,7.2
California,Thyroid,2015,Male,Other Races and Unknown combined,24.0,,
Colorado,Thyroid,1999,Female,White,208.0,1930473,10.6
Colorado,Thyroid,1999,Male,White,66.0,1952428,3.5
Colorado,Thyroid,2000,Female,White,220.0,1967790,10.8
Colorado,Thyroid,2000,Male,White,92.0,1996137,4.8
Colorado,Thyroid,2001,Female,White,286.0,2007381,14.0
Colorado,Thyroid,2001,Male,White,89.0,2038752,4.5
Colorado,Thyroid,2002,Female,White,268.0,2033557,12.9
Colorado,Thyroid,2002,Male,White,105.0,2064190,5.4
Colorado,Thyroid,2003,Female,White,306.0,2053169,14.5
Colorado,Thyroid,2003,Male,White,107.0,2074461,5.5
Colorado,Thyroid,2004,Female,White,347.0,2068534,16.3
Colorado,Thyroid,2004,Male,White,110.0,2092418,5.8
Colorado,Thyroid,2005,Female,Black or African American,19.0,101535,22.0
Colorado,Thyroid,2005,Female,White,320.0,2095666,14.7
Colorado,Thyroid,2005,Male,White,113.0,2110882,5.4
Colorado,Thyroid,2006,Female,White,349.0,2131843,15.7
Colorado,Thyroid,2006,Male,White,123.0,2146621,5.9
Colorado,Thyroid,2007,Female,White,439.0,2167190,19.7
Colorado,Thyroid,2007,Male,White,132.0,2179296,6.2
Colorado,Thyroid,2008,Female,White,432.0,2201124,19.0
Colorado,Thyroid,2008,Female,Other Races and Unknown combined,21.0,,
Colorado,Thyroid,2008,Male,White,140.0,2213403,6.5
Colorado,Thyroid,2009,Female,White,503.0,2233809,21.5
Colorado,Thyroid,2009,Male,White,186.0,2244756,8.3
Colorado,Thyroid,2010,Female,Asian or Pacific Islander,21.0,92607,21.5
Colorado,Thyroid,2010,Female,White,566.0,2262146,24.0
Colorado,Thyroid,2010,Female,Other Races and Unknown combined,16.0,,
Colorado,Thyroid,2010,Male,White,189.0,2273784,8.1
Colorado,Thyroid,2011,Female,Asian or Pacific Islander,28.0,95550,30.8
Colorado,Thyroid,2011,Female,Black or African American,16.0,120228,14.2
Colorado,Thyroid,2011,Female,White,583.0,2290625,24.2
Colorado,Thyroid,2011,Male,White,217.0,2302584,9.0
Colorado,Thyroid,2012,Female,Asian or Pacific Islander,23.0,98638,24.5
Colorado,Thyroid,2012,Female,White,569.0,2318686,23.4
Colorado,Thyroid,2012,Male,White,241.0,2332497,9.7
Colorado,Thyroid,2013,Female,Asian or Pacific Islander,26.0,102089,25.1
Colorado,Thyroid,2013,Female,Black or African American,20.0,126329,18.0
Colorado,Thyroid,2013,Female,White,600.0,2349095,24.6
Colorado,Thyroid,2013,Male,White,235.0,2364061,9.5
Colorado,Thyroid,2014,Female,Black or African American,18.0,129491,15.4
Colorado,Thyroid,2014,Female,White,566.0,2380229,22.6
Colorado,Thyroid,2014,Male,White,179.0,2398523,6.8
Colorado,Thyroid,2015,Female,Asian or Pacific Islander,24.0,109787,19.6
Colorado,Thyroid,2015,Female,White,554.0,2417473,21.9
Colorado,Thyroid,2015,Male,White,198.0,2441429,7.6
Connecticut,Thyroid,1999,Female,White,174.0,1517316,11.0
Connecticut,Thyroid,1999,Male,White,63.0,1427459,4.3
Connecticut,Thyroid,2000,Female,White,222.0,1522945,13.8
Connecticut,Thyroid,2000,Male,White,82.0,1433867,5.5
Connecticut,Thyroid,2001,Female,White,242.0,1526178,15.3
Connecticut,Thyroid,2001,Male,White,82.0,1439050,5.5
Connecticut,Thyroid,2002,Female,White,244.0,1529990,15.1
Connecticut,Thyroid,2002,Male,White,71.0,1445949,4.8
Connecticut,Thyroid,2003,Female,White,318.0,1534880,19.3
Connecticut,Thyroid,2003,Male,White,100.0,1451258,6.6
Connecticut,Thyroid,2004,Female,Black or African American,24.0,196678,13.0
Connecticut,Thyroid,2004,Female,White,322.0,1533567,20.0
Connecticut,Thyroid,2004,Male,White,107.0,1452688,6.9
Connecticut,Thyroid,2005,Female,White,386.0,1531059,23.8
Connecticut,Thyroid,2005,Male,White,116.0,1453683,7.7
Connecticut,Thyroid,2006,Female,Black or African American,16.0,203100,9.3
Connecticut,Thyroid,2006,Female,White,403.0,1529847,24.8
Connecticut,Thyroid,2006,Male,White,116.0,1452267,7.5
Connecticut,Thyroid,2007,Female,Black or African American,28.0,206268,14.1
Connecticut,Thyroid,2007,Female,White,448.0,1527439,27.1
Connecticut,Thyroid,2007,Male,White,153.0,1451874,9.6
Connecticut,Thyroid,2008,Female,Black or African American,18.0,209963,8.8
Connecticut,Thyroid,2008,Female,White,450.0,1529304,26.9
Connecticut,Thyroid,2008,Male,White,151.0,1454712,9.5
Connecticut,Thyroid,2009,Female,Asian or Pacific Islander,19.0,75282,27.2
Connecticut,Thyroid,2009,Female,Black or African American,30.0,214375,14.4
Connecticut,Thyroid,2009,Female,White,486.0,1529535,29.7
Connecticut,Thyroid,2009,Male,White,164.0,1456309,10.2
Connecticut,Thyroid,2010,Female,Asian or Pacific Islander,19.0,78146,26.6
Connecticut,Thyroid,2010,Female,Black or African American,37.0,218406,18.2
Connecticut,Thyroid,2010,Female,White,459.0,1530454,27.5
Connecticut,Thyroid,2010,Male,White,130.0,1459144,8.2
Connecticut,Thyroid,2011,Female,Asian or Pacific Islander,20.0,81157,25.4
Connecticut,Thyroid,2011,Female,Black or African American,39.0,221054,18.9
Connecticut,Thyroid,2011,Female,White,504.0,1528544,30.3
Connecticut,Thyroid,2011,Male,White,141.0,1459411,8.6
Connecticut,Thyroid,2012,Female,Black or African American,34.0,223554,15.5
Connecticut,Thyroid,2012,Female,White,463.0,1524329,28.8
Connecticut,Thyroid,2012,Female,Other Races and Unknown combined,30.0,,
Connecticut,Thyroid,2012,Male,White,184.0,1456656,11.2
Connecticut,Thyroid,2013,Female,Asian or Pacific Islander,29.0,86009,33.7
Connecticut,Thyroid,2013,Female,Black or African American,40.0,226500,19.0
Connecticut,Thyroid,2013,Female,White,505.0,1519477,31.6
Connecticut,Thyroid,2013,Female,Other Races and Unknown combined,26.0,,
Connecticut,Thyroid,2013,Male,White,175.0,1453298,10.7
Connecticut,Thyroid,2014,Female,Asian or Pacific Islander,16.0,88433,18.1
Connecticut,Thyroid,2014,Female,Black or African American,34.0,228602,15.6
Connecticut,Thyroid,2014,Female,White,496.0,1511814,30.9
Connecticut,Thyroid,2014,Female,Other Races and Unknown combined,36.0,,
Connecticut,Thyroid,2014,Male,White,165.0,1447510,10.2
Connecticut,Thyroid,2015,Female,Asian or Pacific Islander,21.0,90465,23.1
Connecticut,Thyroid,2015,Female,Black or African American,39.0,231403,17.1
Connecticut,Thyroid,2015,Female,White,433.0,1502633,26.4
Connecticut,Thyroid,2015,Female,Other Races and Unknown combined,25.0,,
Connecticut,Thyroid,2015,Male,White,173.0,1439364,10.3
Delaware,Thyroid,1999,Female,White,43.0,307558,13.3
Delaware,Thyroid,2000,Female,White,32.0,310521,9.8
Delaware,Thyroid,2000,Male,White,20.0,296453,6.4
Delaware,Thyroid,2001,Female,White,53.0,312287,16.4
Delaware,Thyroid,2001,Male,White,16.0,298155,5.1
Delaware,Thyroid,2002,Female,White,61.0,314428,18.5
Delaware,Thyroid,2002,Male,White,16.0,300600,5.0
Delaware,Thyroid,2003,Female,White,46.0,317170,13.7
Delaware,Thyroid,2003,Male,White,20.0,303329,6.2
Delaware,Thyroid,2004,Female,White,65.0,320300,19.1
Delaware,Thyroid,2004,Male,White,17.0,306533,4.9
Delaware,Thyroid,2005,Female,White,62.0,324077,17.3
Delaware,Thyroid,2005,Male,White,22.0,309321,6.5
Delaware,Thyroid,2006,Female,White,64.0,327765,18.3
Delaware,Thyroid,2006,Male,White,25.0,312288,7.3
